Question,Class
What is the most efficient way to start a barbeque ?,ENTY
What book did Aaron Hass write ?,ENTY
What was the distinguishing mark on the '' Little Rascals '' dog ?,ENTY
What does a philatelist collect ?,ENTY
Which operating system runs on IBM-compatible machines ?,ENTY
What are the signs of a country going into a recession ?,ENTY
What is the English translation for the word '' caliente '' ?,ENTY
What handicraft requires you to interlace your warp and weft ?,ENTY
What was the name of the ball game played by the mayans ?,ENTY
What was the sequel to The Moon's Balloon ?,ENTY
What basketball maneuver did Bert Loomis invent ?,ENTY
What is a good book to read for people who hate to read ?,ENTY
What does a tarantula eat ?,ENTY
What are the three secondary colors ?,ENTY
What were the trials called which followed World War II ?,ENTY
What famous events have happened on March 27 ?,ENTY
What do I call the sons and daughters of my first cousins ?,ENTY
What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?,ENTY
What do camels store in their humps ?,ENTY
What is the name of the second space shuttle ?,ENTY
What was another name for East Germany ?,ENTY
What's the second-biggest-selling magazine in America ?,ENTY
What kind of a sports team is the Wisconsin Badgers ?,ENTY
What animal was the heat-seeking missile called the Sidewinder named for ?,ENTY
What is a fear of color ?,ENTY
What Nantucket shipwreck killed more divers exploring it than the 52 people it sank with ?,ENTY
What are the two largest birds on earth ?,ENTY
Name the four stories contained in Edith Wharton's '' Old New York . '',ENTY
What is chronic constipation a symptom of ?,ENTY
What did the Yalta Conference lead to ?,ENTY
What dog was dubbed The Mortgage Lifter ?,ENTY
What should the oven be set at for baking Peachy Oat Muffins ?,ENTY
What is a fear of gravity ?,ENTY
What was '' America's recessed-filter cigarette '' ?,ENTY
What kind of dog is Scooby Doo ?,ENTY
Which sex is twice as likely to contract leprosy ?,ENTY
What document did President Andrew Johnson want a copy of placed under his head upon his burial ?,ENTY
What wheel did Blaise Pascal invent in a search for perpetual motion ?,ENTY
What Mary Tyler Moore Show regular came into the world as Tadeus Wladyslaw Konopka ?,ENTY
What did Aaron Hass write ?,ENTY
What is the connection between New Krypton and Daxam ?,ENTY
What type of performer is Ileana Cotrubas ?,ENTY
What line of candy products included Super Skrunch and Peanut Butter Oompas ?,ENTY
What color is the stripe along each side of a Coho salmon ?,ENTY
Mississippi is nicknamed what ?,ENTY
What war saw battles at Parrot's Beak and Black Virgin ?,ENTY
What did a 16th-century Aztec athlete get for putting a rubber ball through a ring ?,ENTY
What do chefs call The Master Spice ?,ENTY
What kind of weapons were used in Medieval warfare ?,ENTY
What are birds descendents of ?,ENTY
Which Kevin Costner movie involves the Sioux Indians ?,ENTY
What is a fear of fur ?,ENTY
What part of their attire were '' pothooks '' to cowboys of the Old West ?,ENTY
A corgi is a kind of what ?,ENTY
What is the term for a group of geese ?,ENTY
What was the name of the famous battle between Texas and Mexico ?,ENTY
What do you call a Poker hand with five cards of the same suit ?,ENTY
What was the first Sam Spade novel ?,ENTY
What song did Patti Page set people dancing to in 1950 ?,ENTY
What is a fear of strong light ?,ENTY
What is the best way to overcome a fear ?,ENTY
In which Tennessee Williams play is one of the characters killed and devoured by a mob of starving children ?,ENTY
What war did the Potsdam Conference follow ?,ENTY
What's the most common non-contagious disease in the world ?,ENTY
What was the name of Hitler's unsuccessful attempt to overthrow the Bavarian government in Munich in 1923 ?,ENTY
What sport features snatches and clean jerks ?,ENTY
What kind of guitar did Jimi Hendrix play ?,ENTY
What James Michener book is subtitled Spanish Travels and Reflections ?,ENTY
What stringed weapon fires a bolt ?,ENTY
What kind of suit did true hepcats wear in 1942 ?,ENTY
Musician Ray Charles plays what instrument ?,ENTY
In what film did Steven Spielberg's dog star as the main character's dog ?,ENTY
What are all the different kinds of contraceptives ?,ENTY
What fossilizes to form coprolite ?,ENTY
What's another word that means '' knows all '' ?,ENTY
Aspartame is known by what other name ?,ENTY
What color is '' ash '' ?,ENTY
What three colors are on the French flag ?,ENTY
What are the seven wonders of the world ?,ENTY
What constitutes an adult ?,ENTY
What common ailment can 't you catch at the North Pole ?,ENTY
What was the name of Roy Rogers's dog ?,ENTY
What TV series changed the names to protect the innocent ?,ENTY
What is the name of the dog on the Cracker Jack box ?,ENTY
What William Styron book is about a black preacher who leads a slave revolt ?,ENTY
What is the chemical symbol for nitrogen ?,ENTY
What is the name of the Islamic counterpart to the Red Cross ?,ENTY
What is glass made of ?,ENTY
What is the folklore story regarding birds ' nests and birds in Christmas trees ?,ENTY
What do the French call La Manche ?,ENTY
What's an easy way to count the approximate number of fish in a lake ?,ENTY
What was the name of Aristotle Onassis's yacht ?,ENTY
What is a fear of being dirty ?,ENTY
What animal occurs in Spielberg's '' Jaws '' ?,ENTY
What kind of tree graces Lebanon's flag ?,ENTY
What are the various ways in which one can measure IT User Satisfaction Level ?,ENTY
What does the policeman become in the Canadian edition of Monopoly ?,ENTY
What kind of flowers does detective Nero Wolfe raise ?,ENTY
What was paper made of in the late 16th century ?,ENTY
What's the most popular contact lens color ?,ENTY
What is the fastest fish in the world ?,ENTY
What color are the castellated walls of the Kremlin ?,ENTY
What is celebrated during the week of February 21-27 ?,ENTY
What is damage to business and government caused by bureaucracy ?,ENTY
What was a California prayer book to an Old West gambler ?,ENTY
What's another name for aspartame ?,ENTY
Which two products use a tiger as their symbol ?,ENTY
What color eyes are most sensitive to light ?,ENTY
What disease does Katharine Hepburn have that makes her voice shake ?,ENTY
What is the name of the art of growing miniature trees ?,ENTY
What does the method called '' cold fusion '' create ?,ENTY
What determines the value of the pearl ?,ENTY
What are emblazoned on the Jolly Roger ?,ENTY
What developed a crack in 1835 while tolling the death of U.S. Chief Justice John Marshall ?,ENTY
What Irwin Allen bomb has Richard Widmark saying he 'll be '' the first officer in history to get his butt kicked by a mess of bugs ! '' ?,ENTY
What is a fear of clouds ?,ENTY
What is the music used in the new VW Beetle commercial where the car spins and changes colors ?,ENTY
What is a fear of pregnancy ?,ENTY
What bowl game began as an East-West contest between Michigan and Stanford in 192 ?,ENTY
What's the official language of Algeria ?,ENTY
What took first prize in Omni magazine's contest to find the '' ultimate unanswerable question '' ?,ENTY
What six words follow the line : '' From a jack to a king.. . '' ?,ENTY
What foods contain the most protein ?,ENTY
What are the snakes of New England ?,ENTY
What Triple Crown-winning horse took the 1973 Belmont Stakes by 31 lengths ?,ENTY
What is the dot on an the letter i called ?,ENTY
What do you call the feeling of having experienced something before ?,ENTY
What is the formula to calculate pi ?,ENTY
What does a deltiologist collect ?,ENTY
Which leg does a cat move with its left front leg when walking - its left rear or right rear leg ?,ENTY
What's the hardest substance in the human body ?,ENTY
Name a film that has won the Golden Bear in the Berlin Film Festival ?,ENTY
What's the International Lawn Tennis Challenge Trophy usually called ?,ENTY
What is a research expedition in mountain climbing ?,ENTY
On which flight did Fawaz Younis commit air piracy and hostage taking ?,ENTY
What are fingernails made of ?,ENTY
What is the one thing you need before you can purchase life insurance ?,ENTY
What is another word for diet ?,ENTY
What Sinatra hit did he dooby dooby do in ?,ENTY
What award is the '' Oscar '' of advertising ?,ENTY
What ice creams contain seaweed ?,ENTY
What term means a sexual attraction between a male and a female ?,ENTY
What book does Holden Caulfield appear in ?,ENTY
What are the names of the different toes ?,ENTY
What are different products of petroleum ?,ENTY
What vowel do all Esperanto nouns end in ?,ENTY
What is a fear of motion ?,ENTY
What is a fear of glass ?,ENTY
What does El Nino mean in spanish ?,ENTY
What sign is the best love match for a horoscope sign ?,ENTY
What cards are bullets ?,ENTY
Which language has the most words ?,ENTY
What J.R.R. Tolkien book features Gimli as a central character ?,ENTY
What brand of white rum is still made in Cuba ?,ENTY
What is a fear of water ?,ENTY
What did Walter Huston remove to perform in the movie The Treasure of the Sierra Madre ?,ENTY
What animals acted as lapwarmers for American colonists in church ?,ENTY
What is the weakest bone in the body ?,ENTY
What was Paul Bunyan's ox's name ?,ENTY
What trophy is awarded to the winners of the Super Bowl ?,ENTY
What is the trademark of a Washington Redskin's fan ?,ENTY
What famed tennis tournament's men's singles title was Fred Perry the last Englishman to win ?,ENTY
What fuel do airplanes use ?,ENTY
What color flies closest to the staff on Belgium's flag ?,ENTY
Which ear can most people hear better with ?,ENTY
What letter appears on the cold-water tap in Spain ?,ENTY
How do you say '' Grandma '' in Irish ?,ENTY
What is a camel hair brush actually made out of ?,ENTY
What Peter Blatty novel recounts the horrors of Regan MacNeil's possession by the devil ?,ENTY
What non-alcoholic syrup is made from pomegranate juice ?,ENTY
What meter was invented by C.C. Magee in 1935 ?,ENTY
What is the name for clouds that produce rain ?,ENTY
What does Salk vaccine prevent ?,ENTY
What is a fear of insanity ?,ENTY
What do West Indian steel bands use as instruments ?,ENTY
What was the name of the U.S.'s first manned space program ?,ENTY
What were the achievements of Richard Nixon ?,ENTY
What do peacocks mate with ?,ENTY
What tools do you use to crewel ?,ENTY
What is the name of the American literary era that includes 1896 ?,ENTY
What's the term for an organism that lives on or in another ?,ENTY
What would you add to the clay mixture to produce bone china ?,ENTY
What film canine is buried in Pere-Lachaise cemetery in Paris ?,ENTY
What is the name of a Salt Lake City newspaper ?,ENTY
What color Poker chip is usually assigned the lowest value ?,ENTY
Which produces the longer sperm - an elephant or a mouse ?,ENTY
In what book can I find the story of Aladdin ?,ENTY
What's the name of the Tokyo Stock Exchange ?,ENTY
What was the first TV set to include a remote control ?,ENTY
What first-aid product '' Helps the hurt stop hurting '' ?,ENTY
What carries sperm up into the pelvic region ?,ENTY
What book is subtitled The Preservation of Favoured Races in the Struggle for Life ?,ENTY
What is the only primate to lack pigment in the palms of its hands ?,ENTY
What tale has the moral : '' He who wants everything gets nothing '' ?,ENTY
Name a Salt Lake City newspaper .,ENTY
Which cats pursued Tweety Pie in his first cartoon appearance ?,ENTY
What is a fear of touching ?,ENTY
What is the name of the largest water conservancy project in China ?,ENTY
Which is the most-used computer program ?,ENTY
What animal has the best hearing ?,ENTY
What film featured Shirley MacLaine as a prostitute and Jack Lemmon as a pimp ?,ENTY
What is a fear of drinking ?,ENTY
What Ernest Hemingway novel had the working title Fiesta ?,ENTY
What color of Monopoly properties are landed on most often ?,ENTY
Which Beatles disc cover honors the Rolling Stones ?,ENTY
What ocean liner burned and sank in Hong Kong harbor ?,ENTY
What money was used by them ?,ENTY
What was the name of the 1899 policy forced on China by which all nations had equal trading rights ?,ENTY
What does Visine get out ?,ENTY
What do you get by mixing gin and vermouth ?,ENTY
What Aesop's fable has the moral : '' The race is not always to the swift. Slow and steady is bound to win '' ?,ENTY
What does a woman want ?,ENTY
What Russian novel embracing more the 5 characters is set in the Napoleonic Wars ?,ENTY
What is your favorite color ?,ENTY
What credit card features a centurion on its face ?,ENTY
What is the mission of Nike ?,ENTY
What do the Japanese call Japan ?,ENTY
What English word has the most letters ?,ENTY
What film ends with the line : '' This is Mrs. Norman Maine '' ?,ENTY
What's the main vegetable in vichyssoise ?,ENTY
Which side of the face do most artists tend to show more of in cls-portraits ?,ENTY
What phenomenon would you expect to read about in the monthly publication The Bigfoot News ?,ENTY
What is a fear of punishment ?,ENTY
What comic strip sometimes features a mailman named Beasley ?,ENTY
What device provided a new way to listen to music in 1963 ?,ENTY
What two body parts grow all your life ?,ENTY
What is the main ingredient of yogurt ?,ENTY
What is the recipe for Eggs Benedict ?,ENTY
What's the largest U.S. agricultural crop by weight ?,ENTY
What is the electronic device used to produce visual displays corresponding to electric signals ?,ENTY
What is the chemical composition of a Barbie ?,ENTY
What is the lens behind the iris in the eye called ?,ENTY
What is the longest English word that can be formed using just the first row of letters on a typewriter ?,ENTY
What is Chiricahua the name of ?,ENTY
What's the green variety of beryl called ?,ENTY
What was the name of Captain Bligh's ship ?,ENTY
Which is heavier - cream or milk ?,ENTY
What new games are available for Nintendo 64 ?,ENTY
What is the predominant color of the Tab label ?,ENTY
What are the conjugations of wake and woke ?,ENTY
What are John C. Calhoun and Henry Clay known as ?,ENTY
What are some good exercises for kids to do ?,ENTY
Garry Kasparov plays what game ?,ENTY
Which comic book was not spawned directly from the pulp magazines ?,ENTY
What are the 7 Wonders of the World ?,ENTY
Where is the human skin least sensitive ?,ENTY
What is the biggest '' thing '' humans have made ?,ENTY
What five cards make up a perfect Cribbage hand ?,ENTY
What is the full classification of a lady bug ?,ENTY
What was the name of the peace agreement imposed on Germany after World War I ?,ENTY
What newspaper serves Salt Lake City ?,ENTY
What spice do chefs pay the most for ?,ENTY
What was the sister ship of the Olympic ?,ENTY
What animal migrates the farthest ?,ENTY
What film was based on the play Everybody Comes to Rick's ?,ENTY
Madonna hocks which soft drink ?,ENTY
What's the sequel to Alice's Adventures in Wonderland ?,ENTY
What is a fear of worms ?,ENTY
What food can I use to catch a possum ?,ENTY
What is a fear of cholera ?,ENTY
What is an example of a natural acid-base indicator ?,ENTY
What are pushed and coupled in hump yards ?,ENTY
What oldtime kids ' fare did TV Guide writer Jeff Greenfield call '' one of the most...subversive TV shows in American history '' ?,ENTY
Madonna advertises for what soft drink ?,ENTY
What tennis term is said to come from the French word for egg ?,ENTY
What does a collier mine ?,ENTY
What are the ages in comic book lingo ?,ENTY
What kinds of animals are in Cambodia ?,ENTY
What disease is the second-biggest killer of North Americans ?,ENTY
What is a fear of crystals or glass ?,ENTY
Name a product that controls the ripening of apples .,ENTY
What common livestock have the greatest variety of breeds ?,ENTY
What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?,ENTY
What disease did August von Wassermann develop a specific test for in 196 ?,ENTY
What can communications satellites offer yachts ?,ENTY
What's destroyed in Genesis 19 : 24 ?,ENTY
What new year is celebrated on February 16th ?,ENTY
What's the name of the Tampa newspaper ?,ENTY
What was the alternate to VHS ?,ENTY
What is one of the languages of the Sioux ?,ENTY
What was the food of the Greek gods called ?,ENTY
What Erica Jong novel deals with Isadora Wing's fear ?,ENTY
What four tournaments make up tennis ' Grand Slam ?,ENTY
What 1964 film introduced the song My Kind of Town ?,ENTY
What is the term for the side of the mountain that faces the prevailing winds ?,ENTY
What does caliente translate to in English ?,ENTY
What were the first frozen foods ?,ENTY
What is the word for love of pain or abuse ?,ENTY
What's the name of the tiger that advertises for Frosted Flakes cereal ?,ENTY
What color is Mr. Spock's blood ?,ENTY
What's the best way to lose the flab under your chin and around your face ?,ENTY
What is a fear of hair ?,ENTY
What are the most albums sold by one artist or band ?,ENTY
The second most popular sport worldwide is what ?,ENTY
What do goldfish lose if kept in dimly-lit or running water ?,ENTY
What's the highest hand in straight poker ?,ENTY
What is the name of Kevin Costner's movie about Sioux Indians ?,ENTY
What did the Congress of Vienna establish ?,ENTY
What harmful chemicals are in bug spray ?,ENTY
What does a heliologist study ?,ENTY
What was the first English play written exclusively for children ?,ENTY
What did the crocodile swallow in Peter Pan ?,ENTY
What is the brand name of the chemical daminozide ?,ENTY
What magazine paid Ernest Hemingway $15 a word to write a bullfighting article ?,ENTY
What film dramatized the Scopes monkey trial ?,ENTY
What operating system do IBM-compatible machines use ?,ENTY
What TV show did John Sebastian sing the theme for ?,ENTY
What was originally defined as one 1-millionth of the distance from the equator to the Pole ?,ENTY
What does a chiropodist treat ?,ENTY
In what movie is the number nine found in the title ?,ENTY
What chemical in red wine is good for the heart and what exactly does it do to your body ?,ENTY
What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?,ENTY
What video format was an alternative to VHS ?,ENTY
What is money made of ?,ENTY
Which of many numbered vats of Scotch was judged best by a panel of experts in 1863 ?,ENTY
What international sport was originally called hurley ?,ENTY
What are close encounters of the first and second kind ?,ENTY
What 1956 Grace Metalious novel was on the best-seller list for two years ?,ENTY
What is the organizational structure of the New Delhi Indira Gandhi airport ?,ENTY
What international amateur sports spectacle was first telecast in 1956 ?,ENTY
What interesting method was used to run the credits in the early Popeye cartoons ?,ENTY
What are the stars made of ?,ENTY
In which sport is there a '' scrum '' ?,ENTY
What are the best ways to improve employee morale at low cost ?,ENTY
Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?,ENTY
What is the Scotch '' for people who know the difference '' ?,ENTY
The trials resulting from World War II are known as what ?,ENTY
What started in 1849 when gold was discovered at Sutter's Mill ?,ENTY
What ill-fated craft was captained by Ernst Lehmann ?,ENTY
What color is the lipstick on Boy George's wax lips at London's Madame Tussaud's ?,ENTY
What is the brand name of a chemical used to control ripening ?,ENTY
What terror of the sea did Johnny Horton sing about ?,ENTY
What is the medical term for cancer of the blood ?,ENTY
What's a male witch called ?,ENTY
What is the most commonly used 1 letter word in the English language ?,ENTY
What did Tristan come back as ?,ENTY
What colors make up a rainbow ?,ENTY
What war did Johnny Reb and Billy Yank fight ?,ENTY
What famed gangland slaughter cut into the membership of Bugs Moran's outfit ?,ENTY
Ray Charles is best known for playing what instrument ?,ENTY
What food of the three bears did Goldilocks eat ?,ENTY
What kind of fish is a coney ?,ENTY
What film was Jude Law in ?,ENTY
What were the ceremony traditions like during the Elizabethian times ?,ENTY
What is a fear of going to bed ?,ENTY
What is the name of a language spoken by the Sioux ?,ENTY
What does an edentulous smile lack ?,ENTY
What is a fear of jealousy ?,ENTY
What is the largest sculpture in the world ?,ENTY
What William Makepeace Thackeray novel was made into a film by Stanley Kubrick ?,ENTY
What's the common name for a Japanese dwarf tree ?,ENTY
What did Thomas Paine write ?,ENTY
What Lewis Carroll book introduced Humpty Dumpty to the world ?,ENTY
What is the fear of the computer called ?,ENTY
What is a technique popularly used to detect birth defects ?,ENTY
What is the procedure called for drilling a hole in your skull to acheive a higher consciousness ?,ENTY
What color tennis balls are used at Wimbledon ?,ENTY
What is a 2-sided object called ?,ENTY
Name the French historical period during the reign of Napoleon III .,ENTY
What movie has made the most money ?,ENTY
What are you caught in if a haboob blows up ?,ENTY
What is April's gemstone ?,ENTY
What powdered soft drink mix went into space ?,ENTY
What did the Chinese emperor present to the English soldier Gordon in recognition of his services in quelling rebellions ?,ENTY
What is one of the languages spoken by the Sioux called ?,ENTY
In what ways did Ivan IV support Russian expansion ?,ENTY
What sport is known for hooligans ?,ENTY
What sport was the first televised in the U.S. ?,ENTY
What concerts are held in New York this week ?,ENTY
What were hairy bank notes in the fur trade ?,ENTY
Which airplane did Fawaz Younis hijack ?,ENTY
Name a novel written by John Steinbeck .,ENTY
What is the name of David Letterman's dog ?,ENTY
What are the titles of some R-Rated Sony Playstation games ?,ENTY
What playing card symbolizes death ?,ENTY
What is a synonym for aspartame ?,ENTY
Which thrilled taste buds first - Snickers or 3 Musketeers ?,ENTY
What animal do buffalo wings come from ?,ENTY
What's the geographic term for the submerged fringe of a continent ?,ENTY
Name the story by Chris Van Allsburg in the which a boy tries to become a great sailor ?,ENTY
What are the components of polyester ?,ENTY
What product features a frog that says '' dig 'em '' ?,ENTY
What is the best brand for a laptop computer ?,ENTY
What was Franklin Roosevelt's program for economic recovery called during the Great Depression ?,ENTY
What did Englishman John Hawkins begin selling to New World colonists in 1562 ?,ENTY
What did Louis Cartier invent for aviator Santos Dumont in 1940 ?,ENTY
What was the first Gilbert and Sullivan opera ?,ENTY
What substance did Joseph Priestley name for its ability to erase pencil marks ?,ENTY
What fast food is prepared with a '' secret blend of 11 herbs and spices ? '',ENTY
What's the symbol for the zodiacal sign Gemini ?,ENTY
What series of trials followed World War II ?,ENTY
What was the eighth day following the Nones in each month of the Roman calendar called ?,ENTY
What is a fear of money ?,ENTY
The operating system that runs on IBM-compatible machines is called what ?,ENTY
What is the name of the Family Circus's dog ?,ENTY
What did Martin Luther post on the church door at Wittenberg ?,ENTY
What is the name of the vaccine for chicken pox ?,ENTY
What is a fear of reptiles ?,ENTY
What does Knight Ridder publish ?,ENTY
What can one see in Reims ?,ENTY
What's the highest possible bid in Contract Bridge ?,ENTY
What two major world religions began in India ?,ENTY
What kind of poisoning is known as plumbism ?,ENTY
What is the greatest source of '' white '' magic in the Marvel Universe ?,ENTY
What is a fear of stings ?,ENTY
Jude Law was in what movie ?,ENTY
What was the name of Robert Fulton's most famous steamboat ?,ENTY
What is the name of the kids ' show from Canadian Public TV with the singing pineapple ?,ENTY
What does a resurrectionist steal ?,ENTY
What two vegetables are combined in succotash ?,ENTY
Which infectious disease kills the most people worldwide ?,ENTY
What's the dumbest domesticated animal ?,ENTY
What four tastes can a human distinguish ?,ENTY
What two vessels fought the first sea battle between iron-covered ships ?,ENTY
What 1953 film won Frank Sinatra a best supporting actor Oscar ?,ENTY
What was George Washington afraid of ?,ENTY
What are the top 5 fiction books of all time ?,ENTY
What is the term for someone who hates mankind ?,ENTY
What did San Francisco's Milt Harper grow that measured 24 inches from tip to tip in 1974 ?,ENTY
What Tom Wolfe book is about the Mercury astronauts ?,ENTY
What cooking oil has '' corn goodness '' ?,ENTY
What is the term that describes a word where only one usage has been recorded in all literature ?,ENTY
What measures did Clinton take to avoid the draft ?,ENTY
What are '' darning needles '' and '' horse stingers '' better known as ?,ENTY
What do penguins eat ?,ENTY
What TV station did Mary Richards work for ?,ENTY
What football bowl game's first queen was Hallie Woods ?,ENTY
What racehorse won an Associated Press poll as the greatest horse of the 20th century ?,ENTY
What does Final Four refer to in the sports world ?,ENTY
What medium is Stuart Hamblen the first singing cowboy in ?,ENTY
What are all the different types of pizza ?,ENTY
What film opens with an assassin tumbling from the Seattle Space Needle ?,ENTY
What rabbit got its name because its ears resembled those of a jackass ?,ENTY
Aspartame is also called what ?,ENTY
What is a fear of trees ?,ENTY
What holidays or observances are celebrated in Italy ?,ENTY
What kind of nuts are used in marzipan ?,ENTY
What does a polyorchid man have at least three of ?,ENTY
What color is most often used to symbolize truth ?,ENTY
Stuart Hamblen is considered to be the first singing cowboy of what ?,ENTY
What is the term for the sum of all genetic material in a given organism ?,ENTY
What is the best-selling television soundtrack of all time ?,ENTY
What is the fastest computer ?,ENTY
What's the term for a limestone deposit rising from the floor of a cave ?,ENTY
What ability has the silkworm moth lost through domestication ?,ENTY
What is a fear of sourness ?,ENTY
What are the languages spoken by the natives in Afghanistan ?,ENTY
What is a fear of rejection ?,ENTY
What is the best selling computer model ever ?,ENTY
What is a fear of food ?,ENTY
Name of King Arthur's sword ?,ENTY
What 1981 Candice Bergen-Jacqueline Bisset movie was a remake of 1943's Old Acquaintance ?,ENTY
What is the nickname of the Cleveland Indians ?,ENTY
What Frederick Forsyth novel chronicles the toppling of an African government by mercenaries ?,ENTY
What was the name of Baretta's cockatoo ?,ENTY
What color is the cross on Switzerland's flag ?,ENTY
What's the most delicate-tasting member of the onion family ?,ENTY
What do you call a book of quotes ?,ENTY
What is Dr. Seuss ' most popular book ?,ENTY
What animal dined on bread and oysters with a carpenter ?,ENTY
What is Shirley MacLaine known as ?,ENTY
What book was F. Scott Fitzgerald working on when he died in Hollywood in 194 ?,ENTY
What joins white wine to put the spritz in a Spritzer ?,ENTY
What color are seven of every 10 houses in the U.S. ?,ENTY
What does a phobophobe fear ?,ENTY
What color beans did the ancient Romans refuse to eat ?,ENTY
What do sailors use to measure time ?,ENTY
What's the most popular form of gambling with women in Las Vegas ?,ENTY
What is Bella Abzug's sartorial trademark ?,ENTY
What vehicles are raced in the Tour de France ?,ENTY
What does it take to be a hero ?,ENTY
What animal causes the biggest threat to humans ?,ENTY
What is a fear of ruin ?,ENTY
What British TV series inspired All in the Family ?,ENTY
What is the most popular sports car color ?,ENTY
What Broadway show introduced the song Some Enchanted Evening ?,ENTY
What product did William Horlick discover and produce ?,ENTY
What drink contains as many types of rum as possible ?,ENTY
What is a softball made of ?,ENTY
What '' little red car '' is mentioned in pop singer Prince's hit song ?,ENTY
What kind of species is the monster in the film '' Jaws '' ?,ENTY
What is the best-selling book of all time ?,ENTY
What are the first six words of Dickens's A Tale of Two Cities ?,ENTY
What card suit originally represented the peasant class ?,ENTY
What's the Hungarian word for pepper ?,ENTY
What does the Peugeot company manufacture ?,ENTY
What is a fear of everything ?,ENTY
Which mayonnaise refers to itself as '' real '' mayonnaise ?,ENTY
What instrument does Benny Carter play ?,ENTY
What eating utensils are used for handicapped kids ?,ENTY
What do opposite faces of a die always add up to ?,ENTY
What did the ancients call the four great elements ?,ENTY
What animal's tail is called a brush ?,ENTY
What were the names of the three ships used by Columbus ?,ENTY
What is predicted to topple over between 2010 and 2020 ?,ENTY
What kind of crystals exist ?,ENTY
Which is the best opening move in chess ?,ENTY
What do ladybugs eat ?,ENTY
What is the Taj Majal made of ?,ENTY
What does a farrier put shoes on ?,ENTY
Name a Sioux language .,ENTY
What does saliva consist of ?,ENTY
What is another name for nearsightedness ?,ENTY
What is the zodiac sign for August 14 ?,ENTY
What color is Chablis ?,ENTY
What future movie treat was introduced to American colonists in 1603 by Native Americans ?,ENTY
What sports magazine has the largest circulation ?,ENTY
What is the legal blood alcohol limit for the state of California ?,ENTY
What was Simple Simon fishing for in his mother's pail ?,ENTY
What did Woody Allen call the Japanese gangster film he dubbed into English as a comedy ?,ENTY
What is '' the taste that beats the others cold '' ?,ENTY
What whisky is '' known by the company it keeps '' ?,ENTY
What does Playboy title its '' continuing dialog on contemporary issues between Playboy and its readers '' ?,ENTY
What does it take to become a lawyer ?,ENTY
What are the main blood vessels ?,ENTY
What type is a snail ?,ENTY
What are the top vegetable crops in the world ?,ENTY
What does Warner Bros. call a flightless cuckoo ?,ENTY
How do you say '' eat the day '' in Latin ?,ENTY
What are super balls made of ?,ENTY
What is the fastest-growing comic strip of all time ?,ENTY
What is the movie Jonathan Livingstone Seagull ?,ENTY
What is a fear of children ?,ENTY
What's bottled in jeroboams ?,ENTY
What trade did the 15th and 16th century Portuguese hope to control between Asia and Europe ?,ENTY
What is a fear of sinning ?,ENTY
What are some colorful flowers that will bloom in the fall in New England ?,ENTY
What's the second-most-used murder weapon in the U.S. ?,ENTY
What are the four most widely-used languages in North America ?,ENTY
What war was fought by the Spanish as far as the Philippines ?,ENTY
What beer is ' rockin ' America ? '',ENTY
What is a fear of women ?,ENTY
What are dinosaur droppings called ?,ENTY
What Homerian epic chronicles events toward the end of the Trojan Wars ?,ENTY
What is widely used to detect prenatal birth defects ?,ENTY
What kind of mammal is a colt ?,ENTY
What color are a cherry tree's flowers ?,ENTY
What class of animals makes up more than two-thirds of known species ?,ENTY
What was the name of Sergeant Preston of the Yukon's lead dog ?,ENTY
What film featured a snarly character named Kid Shelleen ?,ENTY
What is the name of the 1919 occurrence in which British troops killed over 3 unarmed Indian protestors ?,ENTY
What star-faring race brought about the Inhumans on Marvel's Earth ?,ENTY
What 1976 Deep Throat clone provides the leading lady with a second larynx ?,ENTY
What line of luggage is named after a famous American flier ?,ENTY
What is a word whose letters can be rearranged to form a different word ?,ENTY
What program do I need to run a .tbk file ?,ENTY
What are the 10 plagues of Egypt ?,ENTY
What is the rounded part on the top of a matchbook called ?,ENTY
What meat complemented sweet potatoes and peas in the first TV dinner ?,ENTY
What Leoncavallo opera features a prologue by a clown ?,ENTY
What chess outcome results when a player has no legal move ?,ENTY
What kind of substance is dextropropoxyphen napsylate ?,ENTY
What were first used by John L. Sullivan and James J. Corbett in 1892 ?,ENTY
What was Mae West's last film ?,ENTY
What letter does Gorbachev's middle name start with ?,ENTY
Name a flying mammal .,ENTY
What English word contains the most letters ?,ENTY
What was the name of the flight that Fawaz Younis hijacked ?,ENTY
What piece of jewelry is pictured on Monopoly's Luxury Tax space ?,ENTY
What was Edward Albee's first full-length play ?,ENTY
What was lost and regained by poet John Milton ?,ENTY
What songs were popular in 1948 ?,ENTY
What color were Ernest Hemingway's eyes ?,ENTY
What is the only animal that can turn its stomach inside out ?,ENTY
What religion has the most members ?,ENTY
What layer of the atmosphere contains most of the ozone layer ?,ENTY
How do you say 2 in Latin ?,ENTY
What was Dwight Eisenhower's favorite card game ?,ENTY
What is the celtic symbol for '' life '' ?,ENTY
What kind of fruit is a Yellow Transparent ?,ENTY
What song put James Taylor in the limelight ?,ENTY
Name four comic strips about pilots .,ENTY
What is the name given to a group of geese ?,ENTY
What has to be produced in a writ of habeas corpus ?,ENTY
What class is categorized as the bourgeoisie ?,ENTY
What is a fear of black people ?,ENTY
