Class,Head,Neck_Label,PER,LOC,OBJ,TEM,NUM,WHAT,WHO,WHOM,WHOSE,WHY,WHERE,WHEN,WHICH,HOW,Root_POS
DESC,How,aux,0,0,0,0,0,4,3,3,4,3,5,4,5,1,VB
DESC,Why,ROOT,0,1,1,0,0,3,2,3,4,1,4,3,4,3,VBZ
DESC,What,ROOT,0,1,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,1,1,2,2,3,2,3,2,3,3,VBZ
DESC,Why,aux,0,0,0,0,0,4,3,4,5,2,5,4,5,3,VB
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,Where,aux,0,0,0,0,1,3,3,3,2,3,0,2,3,4,VBN
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,Why,ROOT,0,0,0,0,0,3,2,3,4,1,4,3,4,3,VBD
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,np,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VB
DESC,Why,aux,1,1,0,0,0,2,1,2,3,0,3,2,3,3,VBP
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBP
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,aux,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBG
DESC,Why,ROOT,0,0,0,0,0,2,1,2,3,0,3,2,3,3,VBP
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,4,VBZ
DESC,What,np,0,0,0,0,0,2,4,4,5,4,5,4,5,4,VBP
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,0,1,0,1,0,1,3,3,4,3,4,3,4,3,VBD
DESC,How,aux,0,0,0,0,1,4,3,4,5,3,5,4,5,2,VB
DESC,What,ROOT,0,0,0,0,0,2,4,4,5,4,5,4,5,4,VBZ
DESC,What,ROOT,0,1,0,0,0,2,3,3,4,3,4,3,4,3,VBD
DESC,Why,aux,1,0,0,0,0,1,1,2,3,1,3,2,3,3,JJ
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,What,aux,0,0,0,0,0,0,2,2,3,2,3,2,3,3,NNS
DESC,How,aux,1,1,0,0,0,4,3,3,3,3,4,3,5,2,VBP
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,4,VBZ
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,How,auxpass,0,0,0,0,0,3,3,3,4,3,4,3,4,1,VBN
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBP
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,How,aux,1,0,1,0,0,3,3,3,4,3,4,3,4,1,NN
DESC,What,ROOT,0,0,0,0,0,2,2,2,3,2,3,2,3,3,VBP
DESC,Why,aux,0,0,0,0,0,2,1,2,3,1,3,2,2,3,VB
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,What,aux,1,0,0,0,0,2,2,2,3,2,2,2,3,3,VBP
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBD
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,How,aux,0,0,0,0,0,3,2,2,2,3,4,3,4,1,VB
DESC,How,ROOT,1,0,0,0,0,3,3,3,4,3,5,4,5,2,VBZ
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBD
DESC,What,ROOT,1,0,0,0,0,1,2,2,3,2,2,2,3,3,VBZ
DESC,How,aux,0,0,0,0,0,4,3,3,4,3,5,4,5,1,VB
DESC,How,aux,0,0,0,0,0,4,3,3,4,3,5,4,5,1,VB
DESC,What,ROOT,0,0,0,0,1,2,3,3,3,3,4,3,4,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
DESC,What,ROOT,0,0,0,0,0,2,4,4,5,4,5,4,5,4,VBZ
DESC,What,ROOT,0,0,0,0,0,2,2,2,3,1,3,2,3,3,VBZ
DESC,How,ROOT,0,0,0,0,0,3,3,3,3,3,3,3,4,2,VBZ
DESC,How,aux,0,0,0,0,0,3,3,3,4,3,4,3,3,1,VB
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,How,aux,0,1,0,0,1,3,2,2,3,3,4,3,4,0,VB
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,Why,aux,0,0,0,0,0,2,1,2,3,1,3,2,2,3,VBN
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,aux,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBG
DESC,Why,ROOT,0,0,0,0,1,2,1,2,3,0,3,2,3,3,VBZ
DESC,How,ROOT,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VBZ
DESC,How,ROOT,0,0,0,0,0,4,3,3,4,3,5,4,5,2,VBZ
DESC,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,1,2,4,4,5,4,5,4,5,4,VBZ
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,2,4,3,4,4,VBZ
DESC,Why,aux,0,0,0,0,0,2,1,2,3,0,3,2,3,3,VB
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,np,1,1,1,0,0,2,4,4,5,4,5,4,5,4,VBP
DESC,How,aux,0,0,0,0,0,3,3,3,4,3,4,3,4,2,VBN
DESC,How,aux,0,0,0,0,0,4,3,3,4,3,5,4,5,1,VB
DESC,How,aux,1,0,1,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,How,auxpass,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VBN
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,How,aux,0,0,0,0,0,4,3,4,5,3,5,4,5,2,VBN
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,1,VB
DESC,What,ROOT,0,1,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
DESC,Why,amod,0,0,0,0,0,2,1,2,3,0,3,2,3,3,NN
DESC,Why,aux,1,1,0,0,1,4,3,4,5,2,4,4,5,3,VB
DESC,What,aux,0,0,1,0,0,1,2,2,3,2,3,2,3,3,VBP
DESC,What,np,0,1,0,1,0,1,2,2,3,2,3,2,3,3,VBD
DESC,How,acomp,0,0,0,0,0,3,3,3,3,3,4,3,4,2,VBP
DESC,How,aux,0,0,0,0,0,4,3,4,5,3,5,4,5,2,VB
DESC,How,aux,1,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,What,ROOT,0,0,0,0,0,1,2,2,2,2,3,2,3,3,VBZ
DESC,How,aux,0,1,0,0,0,3,3,3,3,3,3,3,4,2,VB
DESC,What,aux,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VB
DESC,What,aux,0,0,0,1,0,2,3,3,4,3,4,3,4,4,VB
DESC,How,aux,0,0,0,0,0,3,3,3,4,3,4,3,4,1,VB
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
DESC,How,aux,0,0,0,0,0,4,3,3,4,3,5,4,5,1,VB
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
DESC,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,4,VBP
DESC,Why,aux,0,0,0,0,0,2,1,2,3,0,3,2,3,3,VB
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,2,2,2,2,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBP
DESC,Why,aux,0,0,0,0,0,3,2,3,4,1,4,3,4,3,VBN
DESC,What,ROOT,1,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,How,ROOT,1,0,0,0,0,4,3,3,4,3,5,4,5,1,VBD
DESC,How,aux,0,0,0,0,0,3,3,3,4,3,4,3,3,1,VB
DESC,What,ROOT,0,1,0,0,0,1,2,2,3,2,2,2,3,3,VBZ
DESC,Where,aux,0,0,0,0,0,3,3,3,2,3,0,2,3,4,VBP
DESC,Why,ROOT,1,0,0,1,0,2,1,2,3,1,3,2,3,3,VBZ
DESC,What,ROOT,0,1,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,What,np,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VB
DESC,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,3,VBP
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VBN
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,1,1,2,2,3,2,2,2,3,3,VBP
DESC,What,ROOT,1,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,How,aux,0,0,0,0,0,4,3,3,3,3,4,3,5,2,VB
DESC,What,ROOT,0,0,0,0,0,2,2,2,3,2,3,2,2,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
DESC,Why,ROOT,0,0,0,0,0,3,2,3,4,1,4,3,4,3,VBP
DESC,What,np,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,nc,0,0,0,0,0,2,3,3,4,3,4,3,4,4,NN
DESC,How,ROOT,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VBZ
DESC,What,aux,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VB
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,np,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBP
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,How,aux,0,1,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBP
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,How,aux,0,0,0,1,0,3,3,3,4,3,4,3,4,1,VBP
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
DESC,How,aux,0,0,0,0,0,4,3,3,4,3,5,4,5,1,VB
DESC,What,aux,0,1,0,0,0,1,2,2,3,2,3,2,3,3,VB
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,1,0,0,0,2,3,3,4,3,3,3,4,3,VBZ
DESC,What,nc,0,0,0,0,0,1,3,3,4,3,4,3,4,3,NNS
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,How,aux,0,0,0,0,0,4,3,3,4,3,5,4,5,1,VB
DESC,How,aux,0,0,0,0,0,3,3,3,4,3,4,3,4,1,VB
DESC,How,aux,0,0,0,0,0,4,3,3,4,3,5,4,5,1,NN
DESC,What,ROOT,0,0,0,0,0,2,2,2,2,2,2,2,3,3,VBP
DESC,What,ROOT,0,0,1,0,0,1,2,2,3,2,3,2,3,3,VBD
DESC,Why,ROOT,0,0,0,0,0,2,1,2,3,0,3,2,3,3,VBP
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
DESC,What,ROOT,0,0,0,0,0,2,2,2,3,2,2,2,3,3,VBZ
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,What,aux,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBP
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,What,ROOT,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,1,0,0,0,2,2,3,2,3,2,3,3,VBP
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,How,aux,0,0,0,0,0,3,3,3,4,3,4,3,4,1,VB
DESC,What,np,0,0,0,0,0,1,2,2,3,2,3,2,2,3,VBP
DESC,How,aux,0,0,0,0,0,4,3,4,5,3,5,4,5,2,VB
DESC,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,4,VBP
DESC,How,aux,0,1,1,0,0,4,3,3,4,3,5,4,5,2,VB
DESC,What,np,0,1,0,0,0,1,2,2,3,2,3,2,2,3,VBD
DESC,What,ROOT,1,0,0,0,0,2,3,3,4,3,4,3,4,3,VBD
DESC,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,1,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBP
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,4,VBZ
DESC,Why,ROOT,0,1,0,0,0,3,2,3,4,1,4,3,4,3,VBZ
DESC,What,advmod,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,2,4,3,4,4,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,aux,1,0,0,0,0,2,3,3,4,3,4,3,4,4,VB
DESC,Why,ROOT,0,0,0,0,0,2,1,2,3,0,3,2,3,3,VBP
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBP
DESC,How,ROOT,0,0,0,0,0,3,2,2,2,3,4,3,4,1,VBZ
DESC,What,ROOT,0,0,1,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,1,0,1,3,3,4,3,4,3,4,4,VBZ
DESC,What,auxpass,0,0,0,0,0,2,2,2,3,2,3,2,2,3,VBN
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,How,aux,0,0,0,1,0,4,3,3,4,3,5,4,5,1,VB
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,2,3,VBP
DESC,What,ROOT,1,0,0,0,0,2,3,3,4,3,4,3,3,4,VBZ
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,Why,ROOT,0,0,0,0,0,2,1,2,3,0,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,2,3,3,3,3,4,3,4,4,VBZ
DESC,How,aux,0,1,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,What,aux,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VB
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,0,1,0,0,0,1,2,2,3,1,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,2,4,4,5,4,5,4,5,4,VBZ
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,4,VBZ
DESC,What,np,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,auxpass,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBN
DESC,How,aux,0,1,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBD
DESC,What,ROOT,0,0,0,0,0,2,4,4,5,4,5,4,5,4,VBZ
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
DESC,What,aux,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VB
DESC,What,ROOT,1,0,0,0,0,2,2,2,2,2,2,2,3,3,VBZ
DESC,Why,aux,0,0,0,0,0,2,1,2,3,1,3,2,3,3,VB
DESC,How,aux,1,0,0,0,0,4,3,4,5,3,5,4,5,2,VB
DESC,What,nc,0,0,0,0,0,2,2,2,3,2,3,2,3,3,NN
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,4,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,1,VB
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,1,0,0,1,0,0,2,2,3,2,3,2,3,3,VBD
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,2,4,3,4,4,VBZ
DESC,How,auxpass,0,1,0,0,0,3,2,2,3,3,4,3,4,0,VBN
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,What,aux,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VB
DESC,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,3,VBD
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,Where,aux,0,0,0,0,0,3,3,3,2,3,1,3,3,4,VB
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,2,4,3,4,4,VBZ
DESC,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,4,VBP
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBD
DESC,What,np,0,0,0,1,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,1,0,0,0,0,1,2,2,3,1,3,2,3,3,VBZ
DESC,How,auxpass,1,0,0,0,0,3,3,3,4,3,4,3,4,1,VBN
DESC,What,aux,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VB
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,What,aux,1,0,0,0,0,2,2,2,3,1,3,2,3,3,VB
DESC,How,aux,0,0,0,0,0,4,3,3,4,3,5,4,5,2,VBP
DESC,How,ROOT,0,1,1,0,0,3,2,2,3,3,4,3,4,1,VBZ
DESC,What,ROOT,0,0,0,0,0,2,4,4,5,4,5,4,5,4,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,np,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBP
DESC,How,ROOT,0,0,0,1,0,4,3,3,4,3,5,4,5,1,VBD
DESC,What,ROOT,0,0,0,0,0,2,4,4,5,4,5,4,5,4,VBZ
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,aux,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VB
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,Why,aux,1,0,0,0,0,2,1,2,3,0,3,2,3,3,VB
DESC,What,aux,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VB
DESC,What,ROOT,0,1,0,0,0,2,4,4,5,4,5,4,5,4,VBZ
DESC,What,ROOT,0,0,1,0,0,2,3,3,4,2,4,3,4,3,VBZ
DESC,What,aux,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VB
DESC,How,aux,0,0,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,How,aux,0,1,0,0,0,3,3,3,4,3,4,3,3,1,VB
DESC,Where,aux,0,0,0,0,0,3,3,3,2,3,0,2,3,4,VBD
DESC,What,ROOT,0,0,1,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,1,0,0,0,0,1,3,3,4,3,4,3,4,4,VBD
DESC,Why,ROOT,0,0,0,0,0,3,2,3,4,1,4,3,4,3,VBD
DESC,How,aux,0,1,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,What,aux,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VB
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,4,VBZ
DESC,How,aux,0,0,0,0,0,3,3,3,4,3,4,3,4,1,VB
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,2,4,4,5,4,5,4,5,4,VBZ
DESC,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,4,VBD
DESC,What,ROOT,0,1,0,0,0,1,2,2,3,2,2,2,3,3,VBD
DESC,What,ROOT,0,0,0,0,0,1,2,2,3,1,3,2,3,3,VB
DESC,What,np,0,1,0,0,0,1,3,3,4,3,4,3,4,3,VB
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,0,0,1,0,0,1,2,2,3,2,2,2,3,3,VBD
DESC,What,aux,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBP
DESC,How,aux,0,0,0,0,0,3,2,2,2,3,4,3,4,1,VB
DESC,How,ROOT,0,1,0,0,0,4,3,3,4,3,5,4,5,1,VBZ
DESC,How,aux,0,1,0,0,0,3,2,2,3,3,4,3,4,0,VB
DESC,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,3,VBZ
DESC,What,ROOT,0,0,0,0,0,2,3,3,3,3,4,3,4,3,VBZ
DESC,How,aux,0,0,0,0,0,4,3,3,4,3,5,4,5,1,VB
DESC,How,aux,0,0,0,0,0,4,3,3,4,3,5,4,5,2,VB
DESC,Why,aux,0,0,0,0,1,2,1,2,3,0,3,2,3,3,VB
DESC,What,np,1,0,0,0,0,2,3,3,4,3,4,3,4,4,VBP
DESC,What,ROOT,0,0,0,0,0,2,4,4,5,4,5,4,5,4,VBZ
DESC,What,ROOT,1,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBZ
DESC,Why,auxpass,0,0,0,0,0,2,1,2,3,0,3,2,3,3,VBN
DESC,What,aux,0,0,0,0,1,1,3,3,4,3,4,3,4,4,VBP
DESC,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
DESC,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,4,VBP
DESC,How,aux,0,0,0,0,0,4,3,3,4,3,5,4,5,1,VB
DESC,How,aux,0,0,0,0,0,3,3,3,4,3,4,3,4,1,VB
DESC,How,aux,0,0,0,0,0,4,3,4,5,3,5,4,5,2,VB
DESC,What,ROOT,0,1,0,0,0,1,3,3,4,3,4,3,4,4,VBP
ENTY,What,np,1,0,0,0,0,2,4,4,5,4,5,4,5,4,VBD
ENTY,What,np,0,0,1,0,0,1,3,3,4,3,4,3,4,4,NNS
ENTY,What,auxpass,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBN
ENTY,What,np,0,1,0,0,0,0,2,2,3,2,3,2,3,3,NNS
ENTY,What,ROOT,0,0,1,0,1,1,2,2,3,2,3,2,3,3,VBZ
ENTY,What,aux,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VB
ENTY,What,np,0,0,0,0,0,1,2,2,3,1,3,2,3,3,VBN
ENTY,What,ROOT,1,0,0,0,1,0,2,2,3,2,3,2,3,3,VBD
ENTY,What,np,1,0,1,0,0,0,2,2,3,2,3,2,3,3,VBD
ENTY,What,np,0,1,0,0,0,2,3,3,4,3,4,3,3,4,VBZ
ENTY,What,ROOT,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,aux,0,1,0,0,1,1,2,2,3,2,3,2,3,3,VBD
ENTY,What,ROOT,0,1,0,0,0,2,3,3,4,3,3,3,4,3,VBZ
ENTY,What,ROOT,0,0,0,0,1,0,2,2,3,2,3,2,3,3,VBD
ENTY,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,np,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,np,0,1,0,0,0,2,3,3,4,3,4,3,4,4,VBD
ENTY,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
ENTY,What,ROOT,1,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
ENTY,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
ENTY,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,Which,np,0,0,0,0,1,3,3,3,3,3,3,3,0,4,VBP
ENTY,What,np,0,1,0,0,0,1,3,3,4,3,4,3,4,4,VBD
ENTY,What,ROOT,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,np,1,1,0,1,0,0,2,2,3,2,3,2,3,3,VBD
ENTY,What,ROOT,0,1,0,0,0,2,2,2,3,2,3,2,3,3,VBP
ENTY,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBD
ENTY,What,np,1,0,1,0,0,1,2,2,2,2,3,2,3,3,VBN
ENTY,What,np,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
ENTY,What,np,1,1,0,1,0,0,2,2,3,2,3,2,3,3,VBD
ENTY,What,np,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBP
ENTY,What,ROOT,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBZ
ENTY,What,np,0,0,0,0,0,2,2,2,2,2,3,2,3,3,VBZ
ENTY,What,ROOT,0,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,ROOT,0,0,0,0,0,2,3,3,4,3,4,3,4,4,VBZ
ENTY,What,ROOT,0,1,0,0,0,0,2,2,3,2,3,2,3,3,VBP
ENTY,What,ROOT,0,0,0,1,0,1,3,3,4,3,4,3,4,4,VBD
ENTY,What,np,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBN
ENTY,What,np,0,0,0,0,1,0,2,2,3,2,3,2,3,3,VB
ENTY,What,ROOT,0,0,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
ENTY,What,np,0,0,0,0,0,1,3,3,4,3,4,3,4,3,VBN
ENTY,What,np,0,0,0,0,1,2,2,2,3,2,3,2,3,3,VBZ
ENTY,What,np,1,0,0,0,0,0,2,2,3,2,3,2,3,3,VBZ
ENTY,What,ROOT,0,1,0,0,0,1,2,2,3,2,3,2,3,3,VBZ
